标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
2房精装，上藤地铁，贴砖社区，南北通透，装修过硬,108,21302,下池小区,仓山,2,50.7,南北,2004,"['南北', '满五年', '近地铁']"
东区，建发纯商品房，中秋国庆特价400，一梯一户大四房,480,32215,建发美的君兰和鸣,晋安,4,149,南,,"['南北通透', '厨卫全明', '双卫生间', '轨交房']"
台江光明港公园，夜市一条街，珠宝城，端头户型精装三房楼层好,137.9,18636,港务局宿舍,台江,3,74,南北,1998,"['南北', '满五年', '近地铁', '多人关注']"
急售！央企橡树湾大两房！装修25！仅185万！可以拎包入住,180,20259,华润橡树湾,仓山,2,88.85,南北,2014,"['南北', '热门小区', '价格优惠', '房东急售']"
金辉天鹅湾 4室2厅 毛坯 东端头163户型,435,26575,金辉天鹅湾,仓山,4,163.69,东南,2012,"['东南', '热门小区', '价格优惠', '随时可看']"
东部办公区，采光充足，伯恩物业，贴心，纯商品房，入户花园,278,30807,祥浦苑,仓山,3,90.24,南,2016,"['南', '有电梯', '近地铁']"
"东泰禾 晋安湖 五里亭,地铁口,0距离，纯商品 楼盘，户型好",400,31008,大东海玺悦,晋安,4,129,南,,"['南北通透', '双卫生间', '大户型', '轨交房']"
东泰禾保利香槟国际 前排视野无遮 法式精装80平 居家,248,31188,保利香槟国际,晋安,3,79.52,南,2016,"['南', '热门小区', '配套成熟', '房东急售']"
长乐大名城 刚需小三居 装修好 进修 附小 诚意出售,162,15945,长乐大名城,长乐,3,101.6,南北,2017,"['南北', '满二年', '多人关注']"
急售 99万买大三房 新社区电梯中层全明户型随时看房,99,11000,螺洲新城(三区),仓山,3,90,南北,2018,"['南北', '满二年', '近地铁', '次新房']"
鼓楼北 泰禾旁 精装修 新房，南北通透电梯高层 即住,255,23612,绿城柳岸晓风(新房),晋安,4,108,南,,['车位充足']
金山明星 配套齐全 交通便捷 近医院 产权清晰 居住密度低,268,21995,金山明星,仓山,4,121.85,南北,2003,"['南北', '满二年', '近地铁']"
正荣御湖湾 137平 每平11700元 电梯四房 满二。,170,12516,正荣御湖湾,平潭,4,135.83,南北,2019,"['南北', '热门小区', '配套成熟', '房东急售']"
鼓楼区 福大怡园 二房 158万,158,22836,怡园,鼓楼,2,69.19,南北,1990,"['南北', '热门小区', '价格优惠', '随时可看']"
泰禾红誉二期 精装修4房拎包入住 近进修 进修小,300,23256,泰禾红誉二期,长乐,4,129,南北,2017,"['南北', '热门小区', '配套成熟', '价格优惠']"
东泰禾 纯商团购2.6w 精装 联发君樾府 自带超大公园,286,29485,联发臻榕府,晋安,3,97,南,,['低容积']
金城湾，2015次新房，电梯高层端头三房，满2年！,269,21619,新榕金城湾,仓山,3,124.43,南北,2015,"['南北', '近地铁', '多人关注']"
金山小 金山地铁口 榕心映月 3室2厅,300,30986,榕心映月,仓山,3,96.82,东南,2022,"['东南', '有电梯', '近地铁', '车位充足']"
总价237万，鼓西路西湖板块，电梯框架2大房，旧米仓新村,237,29625,旧米仓新村,鼓楼,2,80,南北,1999,"['南北', '热门小区', '近地铁', '随时可看']"
阳光城象屿登云湖 洋房 叠拼 联排 市区低密度墅区 花园露台,262,19125,阳光城象屿登云湖(新房),晋安,4,137,南,,"['大阳台', '主卧套房', '动静分离', '低容积']"
书香大第 企业力荐好房诚意出售,385,31301,中庚书香大第北区,台江,3,123,南北,2008,"['热门小区', '近地铁', '南北通透']"
改善户型很不错，赠送大入户，电梯中高层，精装保持基本全新！,248,18647,三盛国际公园剑桥区,晋安,3,133,南北,2015,"['南北', '满二年', '绿化率高']"
时代美景.电梯中高层.三房居家装修.满五年. .诚意出售,175,21016,时代美景,晋安,3,83.27,南北,2004,"['南北', '满五年', '近地铁']"
国庆钜惠！255万的有天有地叠拼别墅 龙湖 之作,380,30400,龙湖云峰原著(新房),晋安,3,125,南,,['车位充足']
鲁能公馆一期 豪华精装 房龄新 南北通透 交通便捷 近地铁,210,26725,鲁能公馆一期,晋安,2,78.58,南北,2018,"['南北', '热门小区', '价格优惠', '房东急售']"
鼓楼左海屏西，电梯高层，拎包住，精装三房，南北通透视野好,218,24033,凤仪家园,鼓楼,3,90.71,南北,2010,"['南北', '满五年', '人气热搜']"
小白买房关心，但想不通的4个问题,45,7309,中房佳园,闽侯,2,61.57,南北,2015,"['南北', '近地铁', '配套成熟']"
斗门地铁口旁。单位管理宿舍 。3房 低总价,168,17856,中国银行宿舍,鼓楼,3,94.09,南北,1998,"['南北', '满五年', '近地铁']"
五里亭地铁口 国企现房首开香悦 标准三房两卫 好楼层大阳台,245,27529,首开香悦,晋安,3,89,南,,"['双卫生间', '动静分离', '户型方正', '轨交房']"
融信 B区 高层看江不吵，边套三房两厅两卫，精装60多万。,278,23837,融信白宫,仓山,3,116.63,南,2017,"['南', '有电梯', '近地铁']"
鼓楼湖前18年楼盘，电梯精装三房两卫，全明端头户型，大井佳园,215,27596,大井佳园,鼓楼,3,77.91,南北,2020,"['南北', '满二年', '车位充足', '多人关注']"
华林路火车站茶园电建二公司三房,155,19375,电建二公司南院生活区,晋安,3,80,南北,2002,"['南北', '近地铁']"
独梯独户 O公摊 醉美中式园林景观社区 现房 单价2.1左右,312,24187,首开国仕府(新房),仓山,4,129,南,,"['南北通透', '大户型', '轨交房', '车位充足']"
金闽小金山中，中庚城三期电梯高层精装四房，万达商圈视野无遮挡,410,31301,中庚城三期上峰,仓山,4,130.99,南北,2012,"['南北', '热门小区', '配套成熟', '价格优惠']"
